
##### CMIP5 GHG data from Harun  /cs/data/ras029/ObsData/GHG-data/CMIP5-AR5_GHGdata/HistGHGm_1850-2005_v2.dat 

 YEARS  CO2  CH4  N2O  CFC_11  CFC_12  CFC_113  HCFC_22  HFC125  HFC134a  
 kg/kg  kg/kg  kg/kg  kg/kg  kg/kg  kg/kg  kg/kg  kg/kg  kg/kg  kg/kg

 1989.   5.35553E-04  9.32377E-07  4.68767E-07  1.16142E-09  1.87115E-09  3.74675E-10  2.33471E-10  1.92881E-13  0.00000E+00
 1990.   5.37631E-04  9.38004E-07  4.70252E-07  1.19865E-09  1.94587E-09  4.17143E-10  2.51666E-10  2.26651E-13  1.05673E-13
 1991.   5.39397E-04  9.43646E-07  4.71206E-07  1.23374E-09  2.00911E-09  4.54759E-10  2.69980E-10  2.59799E-13  3.17020E-13
 1992.   5.40715E-04  9.48068E-07  4.71950E-07  1.25650E-09  2.06380E-09  4.91373E-10  2.88712E-10  2.92119E-13  6.51652E-13
 1993.   5.42071E-04  9.50554E-07  4.72672E-07  1.26978E-09  2.10721E-09  5.19027E-10  3.04906E-10  3.34590E-13  1.32092E-12
 1994.   5.44122E-04  9.53170E-07  4.73470E-07  1.27808E-09  2.14186E-09  5.32677E-10  3.18220E-10  3.95914E-13  2.64183E-12
 1995.   5.46720E-04  9.56126E-07  4.74522E-07  1.27808E-09  2.16878E-09  5.39889E-10  3.29713E-10  6.22773E-13  5.79442E-12
 1996.   5.49189E-04  9.58153E-07  4.75666E-07  1.27547E-09  2.19174E-09  5.42348E-10  3.45833E-10  1.12600E-12  1.11133E-11
 1997.   5.51761E-04  9.60816E-07  4.76748E-07  1.27192E-09  2.20885E-09  5.41313E-10  3.64043E-10  1.78607E-12  1.82110E-11
 1998.   5.55054E-04  9.65187E-07  4.77922E-07  1.26599E-09  2.22242E-09  5.39825E-10  3.77177E-10  2.68273E-12  2.71580E-11
 1999.   5.58131E-04  9.68805E-07  4.79024E-07  1.25769E-09  2.23306E-09  5.37011E-10  3.93148E-10  3.96184E-12  3.76197E-11
 2000.   5.60436E-04  9.69791E-07  4.79924E-07  1.24939E-09  2.24183E-09  5.33776E-10  4.10164E-10  5.50282E-12  4.91909E-11
 2001.   5.62871E-04  9.69616E-07  4.80893E-07  1.24204E-09  2.24934E-09  5.30898E-10  4.23746E-10  7.13682E-12  6.16780E-11
 2002.   5.65993E-04  9.70436E-07  4.82044E-07  1.23350E-09  2.25394E-09  5.27825E-10  4.40165E-10  8.83836E-12  7.52570E-11
 2003.   5.69393E-04  9.71861E-07  4.83217E-07  1.22331E-09  2.25435E-09  5.23523E-10  4.56583E-10  1.07871E-11  8.96110E-11
 2004.   5.72511E-04  9.72030E-07  4.84270E-07  1.21430E-09  2.25373E-09  5.18283E-10  4.70016E-10  1.29297E-11  1.04881E-10
 2005.   5.75550E-04  9.71293E-07  4.85379E-07  1.20505E-09  2.25164E-09  5.13044E-10  4.84345E-10  1.50252E-11  1.21031E-10
 2006.   5.78612E-04  9.71724E-07  4.86533E-07  1.19177E-09  2.24371E-09  5.07675E-10  5.00615E-10  1.71647E-11  1.36688E-10
 2007.   5.81574E-04  9.73255E-07  4.87581E-07  1.17588E-09  2.23202E-09  5.01950E-10  5.19123E-10  1.94271E-11  1.52046E-10
 2008.   5.84647E-04  9.74980E-07  4.88631E-07  1.15999E-09  2.21992E-09  4.96289E-10  5.38825E-10  2.17519E-11  1.67200E-10
 2009.   5.87916E-04  9.76854E-07  4.89683E-07  1.14306E-09  2.20630E-09  4.90463E-10  5.58887E-10  2.41341E-11  1.81754E-10
 2010.   5.91223E-04  9.78694E-07  4.90737E-07  1.12530E-09  2.19129E-09  4.84515E-10  5.79151E-10  2.65688E-11  1.96156E-10
 2011.   5.94483E-04  9.80506E-07  4.91793E-07  1.10754E-09  2.17569E-09  4.78564E-10  6.00228E-10  2.90539E-11  2.10416E-10
 2012.   5.97746E-04  9.82314E-07  4.92851E-07  1.08979E-09  2.15949E-09  4.72605E-10  6.21994E-10  3.16638E-11  2.24576E-10
 2013.   6.01030E-04  9.84132E-07  4.93912E-07  1.07209E-09  2.14279E-09  4.66672E-10  6.44341E-10  3.44701E-11  2.38674E-10
 2014.   6.04344E-04  9.85975E-07  4.94974E-07  1.05448E-09  2.12565E-09  4.60783E-10  6.67180E-10  3.74663E-11  2.52717E-10
 2015.   6.07690E-04  9.87863E-07  4.96040E-07  1.03698E-09  2.10815E-09  4.54951E-10  6.90438E-10  4.06461E-11  2.66712E-10
 2016.   6.11060E-04  9.89794E-07  4.97107E-07  1.01960E-09  2.09033E-09  4.49179E-10  7.14045E-10  4.40034E-11  2.80664E-10
 2017.   6.14443E-04  9.91753E-07  4.98177E-07  1.00234E-09  2.07224E-09  4.43466E-10  7.37806E-10  4.75319E-11  2.94573E-10
 2018.   6.17834E-04  9.93729E-07  4.99249E-07  9.85195E-10  2.05390E-09  4.37811E-10  7.61437E-10  5.12257E-11  3.08442E-10
 2019.   6.21236E-04  9.95716E-07  5.00323E-07  9.68170E-10  2.03535E-09  4.32211E-10  7.84713E-10  5.50790E-11  3.22271E-10
 2020.   6.24650E-04  9.97710E-07  5.01399E-07  9.51267E-10  2.01661E-09  4.26667E-10  8.07459E-10  5.90864E-11  3.36063E-10
 2021.   6.28067E-04  9.99669E-07  5.02478E-07  9.34452E-10  1.99767E-09  4.21168E-10  8.29513E-10  6.32415E-11  3.49810E-10
 2022.   6.31503E-04  1.00152E-06  5.03558E-07  9.17707E-10  1.97855E-09  4.15708E-10  8.50782E-10  6.74015E-11  3.63240E-10
 2023.   6.34992E-04  1.00323E-06  5.04639E-07  9.01068E-10  1.95928E-09  4.10294E-10  8.71236E-10  7.14293E-11  3.76114E-10
